MÃ	SALE	TÌNH TRẠNG	LINK ẢNH	LINK MAP	ĐỊA CHỈ	DIỆN TÍCH	GIÁ BÁN	PHÍ	GHI CHÚ	Sản phẩm phù hợp
MH898	Kỷ		https://drive.google.com/drive/folders/1nfmN_uRsV5gYCSK6DldZGMFDLZujcq7L?usp=drive_link	https://maps.app.goo.gl/3NLLgXscWpz9BF9m6?g_st=com.google.maps.preview.copy	Cẩm La, Kiến Thuỵ	100	2.250.000	40.000	Ngay trung tâm, gần tiện ích, dân cư đông	Đầu tư dài, xây nhà cho thuê
MH899	Sinh		https://drive.google.com/drive/folders/1ulN5jH_fYL8qQDIwngfO2emLU13E_xl5?usp=drive_link	https://maps.app.goo.gl/2bnaAqf2FyVcHnjD7?g_st=iz	Đức Phong, Kiến Minh	155,8	4.350.000	30.000	Năm trên TL361, khu dân cư đông, buôn bán, kinh doanh tấp lập	Mua để buôn bán, kinh doanh
MH900	Kỷ		https://drive.google.com/drive/folders/1hQ24BNBbs3eXf1ON0oNPUvh00v-eWuNu?usp=drive_link	https://maps.app.goo.gl/umgwBApS3bDBfuGD6?g_st=ipc	Thấp Linh, Minh Tân	74	980.000	20.000		Đón sóng nhà ga, tích tài sản
MH901	Định		https://drive.google.com/drive/folders/1LtnUvKwgpNMnqYPQowadJu6ordxDJ7h6?usp=drive_link	https://maps.app.goo.gl/oHPjg7mQpLwouKaf8?g_st=iz	Sâm Linh, Minh Tân	83	1.950.000	50.000	Khu dân cư đông	Đầu tư đón sóng nhà ga, ở
MH902	Chiến		https://drive.google.com/drive/folders/1uo8k_hZL73LEpYvfbTdbehNO-KqoijyO?usp=drive_link	https://maps.app.goo.gl/PpvFXH3ERGVStY166?g_st=iz	Kiến Hải	101m2 thổ cư + 168m2 vườn tạp	1.750.000	30.000	Gần quy hoạch cảng, cụm cn	Đầu tư đón sóng
MH903	Chiến		https://drive.google.com/drive/folders/1zCx0W7WgckHTXZZapQxhs6YjCRjJ6eLy?usp=drive_link	https://www.google.com/maps?q=20.7169143,106.7182678&entry=gps&lucs=,94259551,94224825,94227247,94227248,94231188,47071704,47069508,94218641,94203019,47084304,94208458,94208447&g_ep=CAISEjI1LjE2LjEuNzQ3NTI2NjMwMBgAINeCAypsLDk0MjU5NTUxLDk0MjI0ODI1LDk0MjI3MjQ3LDk0MjI3MjQ4LDk0MjMxMTg4LDQ3MDcxNzA0LDQ3MDY5NTA4LDk0MjE4NjQxLDk0MjAzMDE5LDQ3MDg0MzA0LDk0MjA4NDU4LDk0MjA4NDQ3QgJWTg%3D%3D&skid=b4e9cd4d-696a-4cda-b806-e7c2e1715b11&g_st=iz	Kiến Hải	160	2.450.000		Gần chợ, bến xe, cao tốc ven biển, khu thương mại logistic	Đầu tư đón sóng, lâu dài
MH904	Lan		https://drive.google.com/drive/folders/1KEeAc7bqIBKLbSwsKNEKva9Y7gORGF5w?usp=drive_link	https://maps.app.goo.gl/nCZfw6xF85GRBL379?g_st=iz	Kính Trực	96	1.100.000	30.000		Đầu tư đón sóng, lâu dài
MH905	Huyền		https://drive.google.com/drive/folders/1xcb0iZihgLn7JoytuI7plI-31VQd_PvJ?usp=drive_link	https://maps.app.goo.gl/c5kJiqeBophyv1XYA?g_st=ipc	Văn Hoà, Hữu Bằng	95,5	780.000	25.000		Đầu tư lâu dài, ở
MH906	Lan		https://drive.google.com/drive/folders/18iilpGNW3saRv4yp4vPnF2zdsORvHJtk?usp=drive_link	https://maps.app.goo.gl/DUhZRWHF8W7MVvR77?g_st=iz	Hoà Nhất, Ngũ Đoan		Lô góc giá 1030, lô giữa giá 970, lô 61m2+56m2 lưu không giá 1100	30.000		
MH907	Lan		https://drive.google.com/drive/folders/1IloCKkRjY3C47IkLcvUX8qNnsFFsDii0?usp=drive_link	https://www.google.com/maps?q=20.7527630,106.6832254&entry=gps&lucs=,94284481,94224825,94227247,94227248,94231188,47071704,47069508,94218641,94282134,94203019,47084304&g_ep=CAISEjI1LjM1LjAuNzk5MDg4MzU1MBgAINeCAypjLDk0Mjg0NDgxLDk0MjI0ODI1LDk0MjI3MjQ3LDk0MjI3MjQ4LDk0MjMxMTg4LDQ3MDcxNzA0LDQ3MDY5NTA4LDk0MjE4NjQxLDk0MjgyMTM0LDk0MjAzMDE5LDQ3MDg0MzA0QgJWTg%3D%3D&skid=d7f332cc-2014-4571-a206-6484457d0e15&g_st=iz	Minh Tân	77,7	850.000	20.000	Cách mặt chợ 3 bước, cách tt huyện 1km, cách đường ga vài trăm m	
MH908	Sinh		https://drive.google.com/drive/folders/1nCVd2F73lh2VlxNgtJu7-P6Hg3A6FhKs?usp=drive_link	https://maps.app.goo.gl/ZoXGeEvNCLKNkhd48?g_st=iz	Xuân La, Thanh Sơn	143	2.400.000	30.000	Cách 300m full tiện ích	Đầu tư lâu dài hoặc để ở, xây nhà vườn
MH909	Lan		https://drive.google.com/drive/folders/1FeZ_f4niKReekTUeDviROzf4USoUtgCr?usp=drive_link	https://maps.app.goo.gl/DhmaVx1y6tmgmoAR7?g_st=iz	Đoàn Xá	92	2.270.000	20.000		Đầu tư hoặc xây nhà ở
MH910	Lan		https://drive.google.com/drive/folders/1EhQIBHm7IwBxQJq69DteM9KP3mw0tbzE?usp=drive_link	https://maps.app.goo.gl/VwQ4JwAg5pFZoRxJ7?g_st=ipc	Kiến Quốc	148,3	1.500.000	30.000	Gần chợ, trường, đi trung tâm vài phút	
MH911	Sinh		https://drive.google.com/drive/folders/14e-bmYrVCu1NxC-n3HTgyCS0S1eukm32?usp=drive_link	https://www.google.com/maps?q=20.7511957,106.6957453&entry=gps&lucs=,94282334,94224825,94227247,94227248,94231188,94280564,47071704,47069508,94273879,94218641,94282134,94203019,47084304&g_ep=CAISEjI1LjMwLjAuNzg1NjQ2NTQ3MBgAIIgnKnUsOTQyODIzMzQsOTQyMjQ4MjUsOTQyMjcyNDcsOTQyMjcyNDgsOTQyMzExODgsOTQyODA1NjQsNDcwNzE3MDQsNDcwNjk1MDgsOTQyNzM4NzksOTQyMTg2NDEsOTQyODIxMzQsOTQyMDMwMTksNDcwODQzMDRCAlZO&skid=d6637579-ea25-4781-87da-37d1cf90b94d&g_st=iz	Thấp Linh, Minh Tân	109,6	1.450.000	20.000	Khu dân cư đông, cách 200m full tiện ích, ngay trục thôn Cốc Liễn	Đón sóng nhà ga, để ở
MH912	Kỷ		https://drive.google.com/drive/folders/12dnmER2g2uyAoP8GwOLlbldc4PPoz0ag?usp=drive_link	https://maps.app.goo.gl/1Nj9pCtyHabTgHAp6?g_st=ipc	Xuân Úc 1	148,2	3.600.000	50.000		Cho thuê hoặc kinh doanh
MH913	Cảnh		https://drive.google.com/drive/folders/1fPfsou-qk81Mhs_nNnNnK-EojCxy9siR?usp=drive_link	https://maps.app.goo.gl/ckiocgCefFGHQrcFA?g_st=iz	Cốc Liễn, Kiến Minh	110,3	990.000	20.000	Đường trải nhựa, dân cư đông	Đầu tư tài chính thấp, giá rẻ, xây nhà ở
MH914	Cảnh		https://drive.google.com/drive/folders/1HJ2cpd0qUdfgwXFmDV2pCxcqDbCS6IZZ?usp=drive_link	https://maps.app.goo.gl/YQTbrzFhMdGgudwG6?g_st=iz	Thấp Linh, Kiến Minh	96m2 thổ cư+14m liền kề	3.600.000	40.000	Cách ngã tư đường vào ga 30m	Đón sóng đầu tư nhà ga, đầu tư lâu dài, xây nhà, kinh doanh buôn bán
MH915	Hoàng		https://drive.google.com/drive/folders/1Omf7TwSULelR9nzPDqZa3m31yk_3QSh3?usp=drive_link		Phúc Xá, Kiến Hải	193	2.100.000	2%	Cảng Nam Đồ Sơn, khu quy hoacjh	Khách mua quy hoạch
MH916	Lan		https://drive.google.com/drive/folders/19Wr74-JyE1BCQwjnQ9ZO4eA_RWKp79FR?usp=drive_link	https://maps.app.goo.gl/EY64F7YpkRVfR4qR9?g_st=ipc	Đoàn Xá	100	1.700.000	30.000	Gần chợ chiều, gần dự án, cảng	Đầu tư ngắn
MH917	Cảnh		https://drive.google.com/drive/folders/1T-jgZoo_TJkfjk7fRBb_KSC01O3tioY3?usp=drive_link	https://maps.app.goo.gl/ckiocgCefFGHQrcFA?g_st=iz	Cốc Liễn, Minh Tân	110,3	990.000	20.000	Đường trải nhựa, dân cư đông	Đầu tư tài chính thấp, giá rẻ, xây nhà ở
